INFORMATION_NEED	101-4
precision	0,020
recall	0,013
F1	0,016
prec@10	0,000
average_precision	0,040
recall_precision
0,013	0,040
interpolated_recall_precision
0,000	0,040
0,100	0,000
0,200	0,000
0,300	0,000
0,400	0,000
0,500	0,000
0,600	0,000
0,700	0,000
0,800	0,000
0,900	0,000
1,000	0,000

INFORMATION_NEED	106-4
precision	0,980
recall	0,653
F1	0,784
prec@10	1,000
average_precision	0,998
recall_precision
0,013	1,000
0,027	1,000
0,040	1,000
0,053	1,000
0,067	1,000
0,080	1,000
0,093	1,000
0,107	1,000
0,120	1,000
0,133	1,000
0,147	1,000
0,160	1,000
0,173	1,000
0,187	1,000
0,200	1,000
0,213	1,000
0,227	1,000
0,240	1,000
0,253	1,000
0,267	1,000
0,280	1,000
0,293	1,000
0,307	1,000
0,320	1,000
0,333	1,000
0,347	1,000
0,360	1,000
0,373	1,000
0,387	1,000
0,400	1,000
0,413	1,000
0,427	1,000
0,440	1,000
0,453	1,000
0,467	1,000
0,480	1,000
0,493	1,000
0,507	1,000
0,520	1,000
0,533	1,000
0,547	1,000
0,560	1,000
0,573	1,000
0,587	1,000
0,600	0,978
0,613	0,979
0,627	0,979
0,640	0,980
0,653	0,980
interpolated_recall_precision
0,000	1,000
0,100	1,000
0,200	1,000
0,300	1,000
0,400	1,000
0,500	1,000
0,600	0,980
0,700	0,000
0,800	0,000
0,900	0,000
1,000	0,000

INFORMATION_NEED	209-2
precision	0,220
recall	0,172
F1	0,193
prec@10	0,600
average_precision	0,637
recall_precision
0,016	1,000
0,031	1,000
0,047	0,750
0,063	0,800
0,078	0,833
0,094	0,750
0,109	0,467
0,125	0,471
0,141	0,409
0,156	0,294
0,172	0,234
interpolated_recall_precision
0,000	1,000
0,100	0,471
0,200	0,000
0,300	0,000
0,400	0,000
0,500	0,000
0,600	0,000
0,700	0,000
0,800	0,000
0,900	0,000
1,000	0,000

INFORMATION_NEED	206-4
precision	0,040
recall	0,026
F1	0,031
prec@10	0,200
average_precision	0,600
recall_precision
0,013	1,000
0,026	0,200
interpolated_recall_precision
0,000	1,000
0,100	0,000
0,200	0,000
0,300	0,000
0,400	0,000
0,500	0,000
0,600	0,000
0,700	0,000
0,800	0,000
0,900	0,000
1,000	0,000

INFORMATION_NEED	305-4
precision	0,240
recall	0,218
F1	0,229
prec@10	0,200
average_precision	0,254
recall_precision
0,018	0,500
0,036	0,286
0,055	0,214
0,073	0,200
0,091	0,238
0,109	0,214
0,127	0,219
0,145	0,235
0,164	0,243
0,182	0,233
0,200	0,229
0,218	0,240
interpolated_recall_precision
0,000	0,500
0,100	0,243
0,200	0,240
0,300	0,000
0,400	0,000
0,500	0,000
0,600	0,000
0,700	0,000
0,800	0,000
0,900	0,000
1,000	0,000

TOTAL
precision	0,300
recall	0,216
F1	0,251
prec@10	0,400
MAP	0,506
interpolated_recall_precision
0,000	0,708
0,100	0,343
0,200	0,248
0,300	0,200
0,400	0,200
0,500	0,200
0,600	0,196
0,700	0,000
0,800	0,000
0,900	0,000
1,000	0,000
