Class Index,Title,Description
0,"la comunidad de albarracín en los siglos xvi y xvii (hacienda, elites y poder)","la necesidad de organizar el poblamiento de esta tierra y el aprovechamiento de sus recursos agropastoriles y forestales es la clave que propiciará el nacimiento en la edad media de la comunidad de aldeas de albarracín, al sudoeste de aragón, siguiendo un modelo común al de otras zonas de la península ibérica. los siglos xvi y xvii vendrán a confirmar el desarrollo pleno de esta institución. la tesis contempla cuatro grandes apartados. el primero se acerca al fenómeno de las comunidades de villa y tierra. la parte dedicada a la población ofrece una visión demográfica introductoria, estrechamente ligada al estudio de la hacienda de la comunidad de aldeas, tercera parte del trabajo. la última sección se centra en las elites que ejercen el predominio político, social y económico en la comunidad, en las diferentes estrategias adoptadas por las familias para su permanencia y promoción en el ejercicio del poder, en los mecanismos de acceso al mismo y en la forma en que esas familias gestionan los pequeños y grandes conflictos. el trabajo se completa con una serie de apéndices: fichero onomástico, cuadros genealógicos y documentos transcritos. "
6,"inclusiones asintóticas del ln-cubo y de lpn, 0<p<2 en espacios de dimensión finita","se tratan dos cuestiones dentro de la teoría local en espacios de banach . mediante el uso de nuevas desigualdades de desviación, se consiguen inclusiones métricas del cubo y lineales del espacio lpn "
5,melatonina como protector frente a los radicales libres en la hepatotoxicidad por ácidos biliares,"en esta investigación se han utilizado homogeneizados y membranas aisladas de hepatocitos obtenidas de ratas macho sprague-dawley, en las que se valoró el daño oxidativo producido por los ácidos biliares en los lípidos y proteínas en ausencia o presencia de fecl3 y ácido ascórbico. el daño oxidativo a los lípidos se estudió mediante la cuantificación de las concentraciones de malonaldehído y 4-hidroxialquenales (mda+4-hda), uno de los productos finales de la reacción de peroxidación lipídica, y la determinación de restos carbonilo generados durante la oxidación de las proteínas. se valoraron siete ácidos biliares: ácido ursodesoxicólico (uda), desoxicólico (dca), taurodesoxicólico (tda), quenodesoxicólico (qca), tauroquenodesoxicólico (tqa), litocólico (lca) y taurolitocólico (tlc). elegido el ácido más prooxidante, tlc, se realizaron cinéticas de tiempo y concentración para establecer sus condiciones óptimas de daño oxidativo. finalmente se evaluó la capacidad antioxidante de melatonina. los resultados obtenidos demuestran que la exposición in vitro de homogeneizados o membranas aisladas de tejido hepático a siete ácidos biliares provocó ataque por radicales libres a sus lípidos y proteínas. en todos los casos se constató carbonilación proteica, mientras que sólo los conjugados con taurina indujeron lipoperoxidación en homogeneizados y dca, uda, lca y tlc en las membranas hepáticas. el tlc fue el ácido biliar que implicó mayores niveles de mda+4-hda y carbonilación. las potencias relativas de cada ácido biliar pueden deberse a su estructura química, que rige su grado de hidro-liposolubilidad y su capacidad de transferencia electrónica. todos los ácidos biliares estudiados potenciaron el efecto prooxidante del hierro salvo el qca. esta acción se observó mejor en las membranas que en los homogeneizados. nuevamente el mayor efecto lo produjo el tlc con excepción de la oxidación proteica de los homogeneizados, en las que sólo el tda modificó las concentraciones de restos carbonilo con significación estadística. la incubación con tlc de las membranas hepáticas en presencia y ausencia de cloruro férrico y ácido ascórbico aumentó las oxidaciones lipídica y proteica de forma tiempo y concentración dependientes. en los homogeneizados esta acción del tlc sólo se observó potenciando la peroxidación lipídica causada por el hierro. la melatonina previno de forma concentración dependiente el daño oxidativo a los lípidos y proteínas causado por el tlc, especialmente a nivel de las proteínas de las membranas hepáticas. también redujo con gran eficiencia el efecto potenciador del tlc en la oxidación causada por hierro y ascórbico. la acción protectora de la melatonina in vitro frente a la lesión oxidativa causada por ácidos biliares refuerza la necesidad de realizar más estudios farmacológicos que evalúen el papel de la melatonina en la prevención de la hepatotoxicidad de las patologías colestáticas mediada por radicales libres. "
1,melatonina y metabolitos derivados del triptófano como protectores de la fluidez de membranas plasmáticas de hepatocitos frente al estrés oxidativo,"en la literatura científica se ha descrito que algunas indolaminas y ß-carbolinas sintetizadas en la glándula pineal poseen propiedades antioxidantes. en la presente investigación se evaluaron la capacidad antioxidante y protectora de la fluidez de membrana (fm) plasmática, del aminoácido triptófano y 9 de sus metabolitos pineales, frente al daño por radicales libres en un modelo oxidativo, basado en la reacción de fenton, constituido por tricloruro de hierro y ácido ascórbico. las membranas se aislaron por centrifugación diferencial a partir de tejido hepático de ratas. el daño oxidativo fue medido utilizando un indicador funcional, fm, e indicadores bioquímicos de lesión a lípidos, malonildialdehido y 4-hidroxialquenales (mda+4-hda), y a proteínas, restos carbonilo (rc). mediante un estudio cinético determinamos el tiempo de exposición de las membranas al sistema oxidativo. la fm se determinó por espectroscopía de fluorescencia, utlizando tma-dph como marcador. la peroxidación lipídica se valoró por las concentraciones de mda+4-hda y el daño a proteínas por los rc. el análisis estadístico incluyó un estudio descriptivo, media ± error estándar, un test de normalidad y el test t-student con p = 0,05; gráficamente determinamos porcentajes de inhibición del daño oxidativo para cada molécula y, para comparar sus potencias antioxidantes, calculamos la ic50 (concentración que inhibió al 50% el efecto del daño). los resultados muestran que el ataque oxidativo, redujo la fm e incrementó las concentraciones de mda+4-hda y de rc. protegen del daño oxidativo las ß-carbolinas, pinolina y triptolina, y las indolaminas, n-acetilserotonina, 5-hidróxitriptófano y melatonina. destacamos la importancia de los grupos hidroxilo, metoxi y n-acetilo, para dotar o potenciar la eficacia antioxidante de la molécula al aumentar su capacidad de transferencia electrónica y solubilidad en medios lipídico y acuoso. el presente estudio contribuye al conocimiento de las propiedades moleculares antioxidantes in vitro de un amplio grupo de metabolitos pineales del triptófano y anuncia la investigación in vivo para plantear posibles usos terapéuticos. "
5,melatonina como protector frente a los radicales libres en la hepatotoxicidad por ácidos biliares,"en esta investigación se han utilizado homogeneizados y membranas aisladas de hepatocitos obtenidas de ratas macho sprague-dawley, en las que se valoró el daño oxidativo producido por los ácidos biliares en los lípidos y proteínas en ausencia o presencia de fecl3 y ácido ascórbico. el daño oxidativo a los lípidos se estudió mediante la cuantificación de las concentraciones de malonaldehído y 4-hidroxialquenales (mda+4-hda), uno de los productos finales de la reacción de peroxidación lipídica, y la determinación de restos carbonilo generados durante la oxidación de las proteínas. se valoraron siete ácidos biliares: ácido ursodesoxicólico (uda), desoxicólico (dca), taurodesoxicólico (tda), quenodesoxicólico (qca), tauroquenodesoxicólico (tqa), litocólico (lca) y taurolitocólico (tlc). elegido el ácido más prooxidante, tlc, se realizaron cinéticas de tiempo y concentración para establecer sus condiciones óptimas de daño oxidativo. finalmente se evaluó la capacidad antioxidante de melatonina. los resultados obtenidos demuestran que la exposición in vitro de homogeneizados o membranas aisladas de tejido hepático a siete ácidos biliares provocó ataque por radicales libres a sus lípidos y proteínas. en todos los casos se constató carbonilación proteica, mientras que sólo los conjugados con taurina indujeron lipoperoxidación en homogeneizados y dca, uda, lca y tlc en las membranas hepáticas. el tlc fue el ácido biliar que implicó mayores niveles de mda+4-hda y carbonilación. las potencias relativas de cada ácido biliar pueden deberse a su estructura química, que rige su grado de hidro-liposolubilidad y su capacidad de transferencia electrónica. todos los ácidos biliares estudiados potenciaron el efecto prooxidante del hierro salvo el qca. esta acción se observó mejor en las membranas que en los homogeneizados. nuevamente el mayor efecto lo produjo el tlc con excepción de la oxidación proteica de los homogeneizados, en las que sólo el tda modificó las concentraciones de restos carbonilo con significación estadística. la incubación con tlc de las membranas hepáticas en presencia y ausencia de cloruro férrico y ácido ascórbico aumentó las oxidaciones lipídica y proteica de forma tiempo y concentración dependientes. en los homogeneizados esta acción del tlc sólo se observó potenciando la peroxidación lipídica causada por el hierro. la melatonina previno de forma concentración dependiente el daño oxidativo a los lípidos y proteínas causado por el tlc, especialmente a nivel de las proteínas de las membranas hepáticas. también redujo con gran eficiencia el efecto potenciador del tlc en la oxidación causada por hierro y ascórbico. la acción protectora de la melatonina in vitro frente a la lesión oxidativa causada por ácidos biliares refuerza la necesidad de realizar más estudios farmacológicos que evalúen el papel de la melatonina en la prevención de la hepatotoxicidad de las patologías colestáticas mediada por radicales libres. "
6,"inclusiones asintóticas del ln-cubo y de lpn, 0<p<2 en espacios de dimensión finita","se tratan dos cuestiones dentro de la teoría local en espacios de banach . mediante el uso de nuevas desigualdades de desviación, se consiguen inclusiones métricas del cubo y lineales del espacio lpn "
5,melatonina como protector frente a los radicales libres en la hepatotoxicidad por ácidos biliares,"en esta investigación se han utilizado homogeneizados y membranas aisladas de hepatocitos obtenidas de ratas macho sprague-dawley, en las que se valoró el daño oxidativo producido por los ácidos biliares en los lípidos y proteínas en ausencia o presencia de fecl3 y ácido ascórbico. el daño oxidativo a los lípidos se estudió mediante la cuantificación de las concentraciones de malonaldehído y 4-hidroxialquenales (mda+4-hda), uno de los productos finales de la reacción de peroxidación lipídica, y la determinación de restos carbonilo generados durante la oxidación de las proteínas. se valoraron siete ácidos biliares: ácido ursodesoxicólico (uda), desoxicólico (dca), taurodesoxicólico (tda), quenodesoxicólico (qca), tauroquenodesoxicólico (tqa), litocólico (lca) y taurolitocólico (tlc). elegido el ácido más prooxidante, tlc, se realizaron cinéticas de tiempo y concentración para establecer sus condiciones óptimas de daño oxidativo. finalmente se evaluó la capacidad antioxidante de melatonina. los resultados obtenidos demuestran que la exposición in vitro de homogeneizados o membranas aisladas de tejido hepático a siete ácidos biliares provocó ataque por radicales libres a sus lípidos y proteínas. en todos los casos se constató carbonilación proteica, mientras que sólo los conjugados con taurina indujeron lipoperoxidación en homogeneizados y dca, uda, lca y tlc en las membranas hepáticas. el tlc fue el ácido biliar que implicó mayores niveles de mda+4-hda y carbonilación. las potencias relativas de cada ácido biliar pueden deberse a su estructura química, que rige su grado de hidro-liposolubilidad y su capacidad de transferencia electrónica. todos los ácidos biliares estudiados potenciaron el efecto prooxidante del hierro salvo el qca. esta acción se observó mejor en las membranas que en los homogeneizados. nuevamente el mayor efecto lo produjo el tlc con excepción de la oxidación proteica de los homogeneizados, en las que sólo el tda modificó las concentraciones de restos carbonilo con significación estadística. la incubación con tlc de las membranas hepáticas en presencia y ausencia de cloruro férrico y ácido ascórbico aumentó las oxidaciones lipídica y proteica de forma tiempo y concentración dependientes. en los homogeneizados esta acción del tlc sólo se observó potenciando la peroxidación lipídica causada por el hierro. la melatonina previno de forma concentración dependiente el daño oxidativo a los lípidos y proteínas causado por el tlc, especialmente a nivel de las proteínas de las membranas hepáticas. también redujo con gran eficiencia el efecto potenciador del tlc en la oxidación causada por hierro y ascórbico. la acción protectora de la melatonina in vitro frente a la lesión oxidativa causada por ácidos biliares refuerza la necesidad de realizar más estudios farmacológicos que evalúen el papel de la melatonina en la prevención de la hepatotoxicidad de las patologías colestáticas mediada por radicales libres. "
5,melatonina como protector frente a los radicales libres en la hepatotoxicidad por ácidos biliares,"en esta investigación se han utilizado homogeneizados y membranas aisladas de hepatocitos obtenidas de ratas macho sprague-dawley, en las que se valoró el daño oxidativo producido por los ácidos biliares en los lípidos y proteínas en ausencia o presencia de fecl3 y ácido ascórbico. el daño oxidativo a los lípidos se estudió mediante la cuantificación de las concentraciones de malonaldehído y 4-hidroxialquenales (mda+4-hda), uno de los productos finales de la reacción de peroxidación lipídica, y la determinación de restos carbonilo generados durante la oxidación de las proteínas. se valoraron siete ácidos biliares: ácido ursodesoxicólico (uda), desoxicólico (dca), taurodesoxicólico (tda), quenodesoxicólico (qca), tauroquenodesoxicólico (tqa), litocólico (lca) y taurolitocólico (tlc). elegido el ácido más prooxidante, tlc, se realizaron cinéticas de tiempo y concentración para establecer sus condiciones óptimas de daño oxidativo. finalmente se evaluó la capacidad antioxidante de melatonina. los resultados obtenidos demuestran que la exposición in vitro de homogeneizados o membranas aisladas de tejido hepático a siete ácidos biliares provocó ataque por radicales libres a sus lípidos y proteínas. en todos los casos se constató carbonilación proteica, mientras que sólo los conjugados con taurina indujeron lipoperoxidación en homogeneizados y dca, uda, lca y tlc en las membranas hepáticas. el tlc fue el ácido biliar que implicó mayores niveles de mda+4-hda y carbonilación. las potencias relativas de cada ácido biliar pueden deberse a su estructura química, que rige su grado de hidro-liposolubilidad y su capacidad de transferencia electrónica. todos los ácidos biliares estudiados potenciaron el efecto prooxidante del hierro salvo el qca. esta acción se observó mejor en las membranas que en los homogeneizados. nuevamente el mayor efecto lo produjo el tlc con excepción de la oxidación proteica de los homogeneizados, en las que sólo el tda modificó las concentraciones de restos carbonilo con significación estadística. la incubación con tlc de las membranas hepáticas en presencia y ausencia de cloruro férrico y ácido ascórbico aumentó las oxidaciones lipídica y proteica de forma tiempo y concentración dependientes. en los homogeneizados esta acción del tlc sólo se observó potenciando la peroxidación lipídica causada por el hierro. la melatonina previno de forma concentración dependiente el daño oxidativo a los lípidos y proteínas causado por el tlc, especialmente a nivel de las proteínas de las membranas hepáticas. también redujo con gran eficiencia el efecto potenciador del tlc en la oxidación causada por hierro y ascórbico. la acción protectora de la melatonina in vitro frente a la lesión oxidativa causada por ácidos biliares refuerza la necesidad de realizar más estudios farmacológicos que evalúen el papel de la melatonina en la prevención de la hepatotoxicidad de las patologías colestáticas mediada por radicales libres. "
4,los elementos configuradores del concepto de asociación en derecho español,"con los escasos datos que proporciona el derecho positivo vigente hasta 1998, las aportaciones de doctrina y jurisprudencia, y la observación del tratamiento que recibe esta figura en derecho comparado, se puede realizar un estudio de los elementos que configuran el concepto de asociación en el derecho español, desde una perspectiva que a su vez atienda a la esencia del fenómeno jurídico de la asociación, y a las líneas propuestas por la doctrina y el propio legislador de lege ferenda. ello permitirá deslindar la asociación de figuras afines que aparecen en nuestro sistema y acercarse a muchas cuestiones suscitadas por su regulación jurídica, que en la mayoría de los casos, carecen de respuesta legal adecuada. por otra parte, la vida se ha ido adelantando a la norma (en este caso a la reforma de la norma) y ha ido marcando un camino que a buen seguro, el legislador hará suyo."
7,la edilicia doméstica urbana romana en el cuadrante nordeste de la península ibérica (ss. i a. c. - iii d. c.).,"el objetivo de nuestra tesis doctoral ha sido examinar la arquitectura doméstica romana urbana del cuadrante nordeste de la península ibérica durante los ss. i a. c.- iii d. c. para ello, realizamos un minucioso y detallado catálogo sobre los diferentes edificios romanos que poseyeron estas características. en este sentido, decidimos consideramos cinco aspectos para nosotros fundamentales: la evolución del concepto de la casa romana a lo largo de la historiografía, los materiales y las técnicas constructivas utilizadas en la arquitectura doméstica, el diseño de la obra en relación con la metrología, la funcionalidad de los espacios y la diversidad de formas en la edilicia privada. de este modo, hemos podido obtener diferentes conclusiones sobre la clase social o etnia a la que pertenecieron sus inquilinos o sobre los distintos modelos edilicios desarrollados en este territorio. the aim of my phd has been to examine the urban roman domestic architecture of the northeastern quadrant of the iberian peninsula during i bc. - iii ac. for it, we made a meticulous one and detailed catalogue on the different roman buildings that they had these characteristics. in this sense, we decided we considered five aspects for fundamental us: the evolution of the concept of the roman house throughout the historiography, the materials and the used constructive techniques in the domestic architecture, the design of the work in relation to the metrology, the functionality of the spaces and the diversity of forms in the private building. in this way, we have been able to obtain different conclusions on the social class or ethnic group to whom their renters belonged or on the different developed of models in this territory. "
