Class Index,Title,Description
103,universidad de zaragoza; departamento de psicología y sociología; área de trabajo social y servicios sociales,universidad de zaragoza; departamento de psicología y sociología; área de trabajo social y servicios sociales
153,universidad de zaragoza; departamento de fisiatría y enfermería; área de fisioterapia,universidad de zaragoza; departamento de fisiatría y enfermería; área de fisioterapia
159,universidad de zaragoza; departamento de ciencia y tecnología de materiales y fluidos,universidad de zaragoza; departamento de ciencia y tecnología de materiales y fluidos
146,universidad de zaragoza; departamento de patología animal; área de medicina y cirugía animal,universidad de zaragoza; departamento de patología animal; área de medicina y cirugía animal
0,universidad de zaragoza,universidad de zaragoza
8,universidad de zaragoza; departamento de didáctica de las ciencias experimentales; área de didáctica de las ciencias experimentales,universidad de zaragoza; departamento de didáctica de las ciencias experimentales; área de didáctica de las ciencias experimentales
103,universidad de zaragoza; departamento de psicología y sociología; área de trabajo social y servicios sociales,universidad de zaragoza; departamento de psicología y sociología; área de trabajo social y servicios sociales
34,universidad de zaragoza; departamento de ciencias de la educación; área de métodos de investigación y diagnóstico en educ.,universidad de zaragoza; departamento de ciencias de la educación; área de métodos de investigación y diagnóstico en educ.
24,universidad de zaragoza; departamento de derecho público; área de der. internacional público y rr. internacionales,universidad de zaragoza; departamento de derecho público; área de der. internacional público y rr. internacionales
140,universidad de zaragoza; departamento de historia moderna y contemporánea; área de historia contemporánea,universidad de zaragoza; departamento de historia moderna y contemporánea; área de historia contemporánea
247,"universidad de zaragoza; departamento de historia medieval, ciencias y técnicas historiográficas y estudios árabes e islámicos; área de historia medieval","universidad de zaragoza; departamento de historia medieval, ciencias y técnicas historiográficas y estudios árabes e islámicos; área de historia medieval"
0,universidad de zaragoza,universidad de zaragoza
175,universidad de zaragoza; departamento de fisiatría y enfermería; área de enfermería,universidad de zaragoza; departamento de fisiatría y enfermería; área de enfermería
0,universidad de zaragoza,universidad de zaragoza
35,"universidad de zaragoza; departamento de medicina, psiquiatría y dermatología","universidad de zaragoza; departamento de medicina, psiquiatría y dermatología"
224,universidad de zaragoza; departamento de ingeniería de diseño y fabricación; área de ingeniería de los procesos de fabricación,universidad de zaragoza; departamento de ingeniería de diseño y fabricación; área de ingeniería de los procesos de fabricación
51,universidad de zaragoza; departamento de unidad predepartamental de arquitectura; área de composición arquitectónica,universidad de zaragoza; departamento de unidad predepartamental de arquitectura; área de composición arquitectónica
175,universidad de zaragoza; departamento de fisiatría y enfermería; área de enfermería,universidad de zaragoza; departamento de fisiatría y enfermería; área de enfermería
85,universidad de zaragoza; departamento de fisiatría y enfermería; área de educación física y deportiva,universidad de zaragoza; departamento de fisiatría y enfermería; área de educación física y deportiva
94,universidad de zaragoza; departamento de dirección de márketing e investigación de mercados; área de comercialización e investigación de mercados,universidad de zaragoza; departamento de dirección de márketing e investigación de mercados; área de comercialización e investigación de mercados
0,universidad de zaragoza,universidad de zaragoza
0,universidad de zaragoza,universidad de zaragoza
44,universidad de zaragoza; departamento de física aplicada; área de optica,universidad de zaragoza; departamento de física aplicada; área de optica
41,universidad de zaragoza; departamento de ingeniería eléctrica; área de ingeniería eléctrica,universidad de zaragoza; departamento de ingeniería eléctrica; área de ingeniería eléctrica
105,universidad de zaragoza; departamento de ingeniería mecánica; área de máquinas y motores térmicos,universidad de zaragoza; departamento de ingeniería mecánica; área de máquinas y motores térmicos
127,universidad de zaragoza; departamento de fisiatría y enfermería,universidad de zaragoza; departamento de fisiatría y enfermería
35,"universidad de zaragoza; departamento de medicina, psiquiatría y dermatología","universidad de zaragoza; departamento de medicina, psiquiatría y dermatología"
180,"universidad de zaragoza; departamento de física teórica; área de física atómica, molecular y nuclear","universidad de zaragoza; departamento de física teórica; área de física atómica, molecular y nuclear"
199,universidad de zaragoza; departamento de análisis económico,universidad de zaragoza; departamento de análisis económico
232,universidad de zaragoza; departamento de derecho público; área de derecho constitucional,universidad de zaragoza; departamento de derecho público; área de derecho constitucional
157,universidad de zaragoza; departamento de filología inglesa y alemana; área de filología inglesa,universidad de zaragoza; departamento de filología inglesa y alemana; área de filología inglesa
0,universidad de zaragoza,universidad de zaragoza
175,universidad de zaragoza; departamento de fisiatría y enfermería; área de enfermería,universidad de zaragoza; departamento de fisiatría y enfermería; área de enfermería
0,universidad de zaragoza,universidad de zaragoza
1,universidad de zaragoza; departamento de ingeniería mecánica; área de ingeniería mecánica,universidad de zaragoza; departamento de ingeniería mecánica; área de ingeniería mecánica
101,universidad de zaragoza; departamento de dirección y organización de empresas; área de organización de empresas,universidad de zaragoza; departamento de dirección y organización de empresas; área de organización de empresas
120,universidad de zaragoza; departamento de contabilidad y finanzas; área de economía financiera y contabilidad,universidad de zaragoza; departamento de contabilidad y finanzas; área de economía financiera y contabilidad
54,universidad de zaragoza; departamento de economía y dirección de empresas,universidad de zaragoza; departamento de economía y dirección de empresas
27,universidad de zaragoza; departamento de estructura e historia económicas y economía pública,universidad de zaragoza; departamento de estructura e historia económicas y economía pública
60,universidad de zaragoza; departamento de ingeniería de diseño y fabricación; área de proyectos de ingeniería,universidad de zaragoza; departamento de ingeniería de diseño y fabricación; área de proyectos de ingeniería
135,universidad de zaragoza; departamento de contabilidad y finanzas,universidad de zaragoza; departamento de contabilidad y finanzas
94,universidad de zaragoza; departamento de dirección de márketing e investigación de mercados; área de comercialización e investigación de mercados,universidad de zaragoza; departamento de dirección de márketing e investigación de mercados; área de comercialización e investigación de mercados
229,universidad de zaragoza; departamento de psicología y sociología; área de psicología evolutiva y de la educación,universidad de zaragoza; departamento de psicología y sociología; área de psicología evolutiva y de la educación
171,universidad de zaragoza; departamento de ingeniería mecánica,universidad de zaragoza; departamento de ingeniería mecánica
175,universidad de zaragoza; departamento de fisiatría y enfermería; área de enfermería,universidad de zaragoza; departamento de fisiatría y enfermería; área de enfermería
217,universidad de zaragoza; departamento de derecho de la empresa; área de derecho mercantil,universidad de zaragoza; departamento de derecho de la empresa; área de derecho mercantil
0,universidad de zaragoza,universidad de zaragoza
0,universidad de zaragoza,universidad de zaragoza
191,"universidad de zaragoza; departamento de pediatría, radiología y medicina física; área de pediatría","universidad de zaragoza; departamento de pediatría, radiología y medicina física; área de pediatría"
147,"universidad de zaragoza; departamento de expresión musical, plástica y corporal; área de didáctica de la expresión musical","universidad de zaragoza; departamento de expresión musical, plástica y corporal; área de didáctica de la expresión musical"
88,"universidad de zaragoza; departamento de microbiología, medicina preventiva y salud pública; área de medicina preventiva y salud pública","universidad de zaragoza; departamento de microbiología, medicina preventiva y salud pública; área de medicina preventiva y salud pública"
91,"universidad de zaragoza; departamento de cirugía, ginecología y obstetricia; área de cirugía","universidad de zaragoza; departamento de cirugía, ginecología y obstetricia; área de cirugía"
224,universidad de zaragoza; departamento de ingeniería de diseño y fabricación; área de ingeniería de los procesos de fabricación,universidad de zaragoza; departamento de ingeniería de diseño y fabricación; área de ingeniería de los procesos de fabricación
0,universidad de zaragoza,universidad de zaragoza
252,universidad de zaragoza; departamento de psicología y sociología; área de psicología social,universidad de zaragoza; departamento de psicología y sociología; área de psicología social
126,universidad de zaragoza; departamento de estructura e historia económicas y economía; área de economía aplicada,universidad de zaragoza; departamento de estructura e historia económicas y economía; área de economía aplicada
252,universidad de zaragoza; departamento de psicología y sociología; área de psicología social,universidad de zaragoza; departamento de psicología y sociología; área de psicología social
73,"universidad de zaragoza; departamento de anatomía patológica, medicina legal y forense y toxicología","universidad de zaragoza; departamento de anatomía patológica, medicina legal y forense y toxicología"
147,"universidad de zaragoza; departamento de expresión musical, plástica y corporal; área de didáctica de la expresión musical","universidad de zaragoza; departamento de expresión musical, plástica y corporal; área de didáctica de la expresión musical"
144,universidad de zaragoza; departamento de didáctica de las lenguas y de las ciencias humanas y sociales; área de didáctica de las ciencias sociales,universidad de zaragoza; departamento de didáctica de las lenguas y de las ciencias humanas y sociales; área de didáctica de las ciencias sociales
165,"universidad de zaragoza; departamento de cirugía, ginecología y obstetricia","universidad de zaragoza; departamento de cirugía, ginecología y obstetricia"
247,"universidad de zaragoza; departamento de historia medieval, ciencias y técnicas historiográficas y estudios árabes e islámicos; área de historia medieval","universidad de zaragoza; departamento de historia medieval, ciencias y técnicas historiográficas y estudios árabes e islámicos; área de historia medieval"
120,universidad de zaragoza; departamento de contabilidad y finanzas; área de economía financiera y contabilidad,universidad de zaragoza; departamento de contabilidad y finanzas; área de economía financiera y contabilidad
171,universidad de zaragoza; departamento de ingeniería mecánica,universidad de zaragoza; departamento de ingeniería mecánica
34,universidad de zaragoza; departamento de ciencias de la educación; área de métodos de investigación y diagnóstico en educ.,universidad de zaragoza; departamento de ciencias de la educación; área de métodos de investigación y diagnóstico en educ.
227,universidad de zaragoza; departamento de matemáticas; área de didáctica de la matemática,universidad de zaragoza; departamento de matemáticas; área de didáctica de la matemática
