Class Index,Title,Description
0,universidad de zaragoza,universidad de zaragoza
39,universidad de zaragoza; departamento de didáctica de las ciencias experimentales; área de didáctica de las ciencias experimentales,universidad de zaragoza; departamento de didáctica de las ciencias experimentales; área de didáctica de las ciencias experimentales
261,"universidad de zaragoza; departamento de expresión musical, plástica y corporal; área de didáctica de la expresión musical","universidad de zaragoza; departamento de expresión musical, plástica y corporal; área de didáctica de la expresión musical"
196,universidad de zaragoza; departamento de fisiatría y enfermería; área de enfermería,universidad de zaragoza; departamento de fisiatría y enfermería; área de enfermería
231,universidad de zaragoza; departamento de filología francesa; área de filología francesa,universidad de zaragoza; departamento de filología francesa; área de filología francesa
87,universidad de zaragoza; departamento de anatomía e histología humanas; área de anatomía y embriología humana,universidad de zaragoza; departamento de anatomía e histología humanas; área de anatomía y embriología humana
150,universidad de zaragoza; departamento de estructura e historia económicas y economía pública; área de economía aplicada,universidad de zaragoza; departamento de estructura e historia económicas y economía pública; área de economía aplicada
196,universidad de zaragoza; departamento de fisiatría y enfermería; área de enfermería,universidad de zaragoza; departamento de fisiatría y enfermería; área de enfermería
52,universidad de zaragoza; departamento de informática e ingeniería de sistemas; área de ingeniería de sistemas y automática,universidad de zaragoza; departamento de informática e ingeniería de sistemas; área de ingeniería de sistemas y automática
0,universidad de zaragoza,universidad de zaragoza
0,universidad de zaragoza,universidad de zaragoza
78,universidad de zaragoza; departamento de ingeniería mecánica; área de ingeniería mecánica,universidad de zaragoza; departamento de ingeniería mecánica; área de ingeniería mecánica
220,"universidad de zaragoza; departamento de expresión musical, plástica y corporal; área de didáctica de la expresión plástica","universidad de zaragoza; departamento de expresión musical, plástica y corporal; área de didáctica de la expresión plástica"
185,universidad de zaragoza; departamento de ciencia y tecnología de materiales y fluidos; área de mecánica de fluidos,universidad de zaragoza; departamento de ciencia y tecnología de materiales y fluidos; área de mecánica de fluidos
132,universidad de zaragoza; departamento de ciencias agrarias y del medio natural; área de producción vegetal,universidad de zaragoza; departamento de ciencias agrarias y del medio natural; área de producción vegetal
13,universidad de zaragoza; departamento de física teórica; área de física teórica,universidad de zaragoza; departamento de física teórica; área de física teórica
0,universidad de zaragoza,universidad de zaragoza
169,universidad de zaragoza; departamento de derecho de la empresa; área de derecho mercantil,universidad de zaragoza; departamento de derecho de la empresa; área de derecho mercantil
0,universidad de zaragoza,universidad de zaragoza
150,universidad de zaragoza; departamento de estructura e historia económicas y economía pública; área de economía aplicada,universidad de zaragoza; departamento de estructura e historia económicas y economía pública; área de economía aplicada
81,universidad de zaragoza; departamento de ciencias de la educación,universidad de zaragoza; departamento de ciencias de la educación
38,universidad de zaragoza; departamento de ingeniería eléctrica; área de ingeniería eléctrica,universidad de zaragoza; departamento de ingeniería eléctrica; área de ingeniería eléctrica
80,universidad de zaragoza; departamento de psicología y sociología; área de psicología evolutiva y de la educación,universidad de zaragoza; departamento de psicología y sociología; área de psicología evolutiva y de la educación
196,universidad de zaragoza; departamento de fisiatría y enfermería; área de enfermería,universidad de zaragoza; departamento de fisiatría y enfermería; área de enfermería
78,universidad de zaragoza; departamento de ingeniería mecánica; área de ingeniería mecánica,universidad de zaragoza; departamento de ingeniería mecánica; área de ingeniería mecánica
172,universidad de zaragoza; departamento de dirección y organización de empresas; área de organización de empresas,universidad de zaragoza; departamento de dirección y organización de empresas; área de organización de empresas
17,universidad de zaragoza; departamento de didáctica de las lenguas y de las ciencias humanas y sociales; área de didáctica de la lengua y la literatura,universidad de zaragoza; departamento de didáctica de las lenguas y de las ciencias humanas y sociales; área de didáctica de la lengua y la literatura
3,universidad de zaragoza; departamento de patología animal; área de medicina y cirugía animal,universidad de zaragoza; departamento de patología animal; área de medicina y cirugía animal
208,universidad de zaragoza; departamento de filosofía; área de filosofía moral,universidad de zaragoza; departamento de filosofía; área de filosofía moral
25,universidad de zaragoza; departamento de física de la materia condensada; área de física de la materia condensada,universidad de zaragoza; departamento de física de la materia condensada; área de física de la materia condensada
139,universidad de zaragoza; departamento de filología inglesa y alemana; área de filología inglesa,universidad de zaragoza; departamento de filología inglesa y alemana; área de filología inglesa
7,universidad de zaragoza; departamento de ciencias de la educación; área de didáctica y organización escolar,universidad de zaragoza; departamento de ciencias de la educación; área de didáctica y organización escolar
171,universidad de zaragoza; departamento de psicología y sociología; área de psicología social,universidad de zaragoza; departamento de psicología y sociología; área de psicología social
180,universidad de zaragoza; departamento de fisiatría y enfermería; área de fisioterapia,universidad de zaragoza; departamento de fisiatría y enfermería; área de fisioterapia
39,universidad de zaragoza; departamento de didáctica de las ciencias experimentales; área de didáctica de las ciencias experimentales,universidad de zaragoza; departamento de didáctica de las ciencias experimentales; área de didáctica de las ciencias experimentales
139,universidad de zaragoza; departamento de filología inglesa y alemana; área de filología inglesa,universidad de zaragoza; departamento de filología inglesa y alemana; área de filología inglesa
105,universidad de zaragoza; departamento de historia del arte; área de historia del arte,universidad de zaragoza; departamento de historia del arte; área de historia del arte
63,universidad de zaragoza; departamento de métodos estadísticos; área de estadística e investigación operativa,universidad de zaragoza; departamento de métodos estadísticos; área de estadística e investigación operativa
255,"universidad de zaragoza; departamento de expresión musical, plástica y corporal; área de didáctica de la expresión corporal","universidad de zaragoza; departamento de expresión musical, plástica y corporal; área de didáctica de la expresión corporal"
111,universidad de zaragoza; departamento de ingeniería mecánica; área de mec. de medios contínuos y teor. de estructuras,universidad de zaragoza; departamento de ingeniería mecánica; área de mec. de medios contínuos y teor. de estructuras
219,universidad de zaragoza; departamento de bioquímica y biología molecular y celular,universidad de zaragoza; departamento de bioquímica y biología molecular y celular
1,universidad de zaragoza; departamento de contabilidad y finanzas; área de economía financiera y contabilidad,universidad de zaragoza; departamento de contabilidad y finanzas; área de economía financiera y contabilidad
9,universidad de zaragoza; departamento de derecho público; área de der. internacional público y rr. internacionales,universidad de zaragoza; departamento de derecho público; área de der. internacional público y rr. internacionales
81,universidad de zaragoza; departamento de ciencias de la educación,universidad de zaragoza; departamento de ciencias de la educación
259,"universidad de zaragoza; departamento de microbiología, medicina preventiva y salud pública; área de medicina preventiva y salud pública","universidad de zaragoza; departamento de microbiología, medicina preventiva y salud pública; área de medicina preventiva y salud pública"
15,"universidad de zaragoza; departamento de pediatría, radiología y medicina física; área de pediatría","universidad de zaragoza; departamento de pediatría, radiología y medicina física; área de pediatría"
129,universidad de zaragoza; departamento de historia moderna y contemporánea,universidad de zaragoza; departamento de historia moderna y contemporánea
44,universidad de zaragoza; departamento de ciencias de la tierra; área de cristalografía y mineralogía,universidad de zaragoza; departamento de ciencias de la tierra; área de cristalografía y mineralogía
38,universidad de zaragoza; departamento de ingeniería eléctrica; área de ingeniería eléctrica,universidad de zaragoza; departamento de ingeniería eléctrica; área de ingeniería eléctrica
0,universidad de zaragoza,universidad de zaragoza
17,universidad de zaragoza; departamento de didáctica de las lenguas y de las ciencias humanas y sociales; área de didáctica de la lengua y la literatura,universidad de zaragoza; departamento de didáctica de las lenguas y de las ciencias humanas y sociales; área de didáctica de la lengua y la literatura
32,universidad de zaragoza; departamento de análisis económico; área de fundamentos del análisis económico,universidad de zaragoza; departamento de análisis económico; área de fundamentos del análisis económico
18,universidad de zaragoza; departamento de fisiatría y enfermería,universidad de zaragoza; departamento de fisiatría y enfermería
89,"universidad de zaragoza; departamento de cirugía, ginecología y obstetricia","universidad de zaragoza; departamento de cirugía, ginecología y obstetricia"
196,universidad de zaragoza; departamento de fisiatría y enfermería; área de enfermería,universidad de zaragoza; departamento de fisiatría y enfermería; área de enfermería
45,universidad de zaragoza; departamento de producción animal y ciencia de los alimentos; área de producción animal,universidad de zaragoza; departamento de producción animal y ciencia de los alimentos; área de producción animal
253,"universidad de zaragoza; departamento de cirugía, ginecología y obstetricia; área de estomatología","universidad de zaragoza; departamento de cirugía, ginecología y obstetricia; área de estomatología"
0,universidad de zaragoza,universidad de zaragoza
86,universidad de zaragoza; departamento de informática e ingeniería de sistemas; área de lenguajes y sistemas informáticos,universidad de zaragoza; departamento de informática e ingeniería de sistemas; área de lenguajes y sistemas informáticos
20,universidad de zaragoza; departamento de física teórica,universidad de zaragoza; departamento de física teórica
38,universidad de zaragoza; departamento de ingeniería eléctrica; área de ingeniería eléctrica,universidad de zaragoza; departamento de ingeniería eléctrica; área de ingeniería eléctrica
0,universidad de zaragoza,universidad de zaragoza
0,universidad de zaragoza,universidad de zaragoza
0,universidad de zaragoza,universidad de zaragoza
0,universidad de zaragoza,universidad de zaragoza
94,"universidad de zaragoza; departamento de medicina, psiquiatría y dermatología; área de psiquiatría","universidad de zaragoza; departamento de medicina, psiquiatría y dermatología; área de psiquiatría"
80,universidad de zaragoza; departamento de psicología y sociología; área de psicología evolutiva y de la educación,universidad de zaragoza; departamento de psicología y sociología; área de psicología evolutiva y de la educación
180,universidad de zaragoza; departamento de fisiatría y enfermería; área de fisioterapia,universidad de zaragoza; departamento de fisiatría y enfermería; área de fisioterapia
31,universidad de zaragoza; departamento de ingeniería de diseño y fabricación; área de ingeniería de los procesos de fabricación,universidad de zaragoza; departamento de ingeniería de diseño y fabricación; área de ingeniería de los procesos de fabricación
221,universidad de zaragoza; departamento de informática e ingeniería de sistemas; área de arquitectura y tecnología de computadores,universidad de zaragoza; departamento de informática e ingeniería de sistemas; área de arquitectura y tecnología de computadores
77,"universidad de zaragoza; departamento de medicina, psiquiatría y dermatología; área de medicina","universidad de zaragoza; departamento de medicina, psiquiatría y dermatología; área de medicina"
25,universidad de zaragoza; departamento de física de la materia condensada; área de física de la materia condensada,universidad de zaragoza; departamento de física de la materia condensada; área de física de la materia condensada
18,universidad de zaragoza; departamento de fisiatría y enfermería,universidad de zaragoza; departamento de fisiatría y enfermería
111,universidad de zaragoza; departamento de ingeniería mecánica; área de mec. de medios contínuos y teor. de estructuras,universidad de zaragoza; departamento de ingeniería mecánica; área de mec. de medios contínuos y teor. de estructuras
169,universidad de zaragoza; departamento de derecho de la empresa; área de derecho mercantil,universidad de zaragoza; departamento de derecho de la empresa; área de derecho mercantil
0,universidad de zaragoza,universidad de zaragoza
221,universidad de zaragoza; departamento de informática e ingeniería de sistemas; área de arquitectura y tecnología de computadores,universidad de zaragoza; departamento de informática e ingeniería de sistemas; área de arquitectura y tecnología de computadores
